,CHE,CC,CTD,HRHE_i,HRC_i,HRHE_o,HRC_o,CBS,CTnCTR,PCS,MCTD
none,-0.9778708794774624,-7.16,-0.010892348780239414,0.06750679634807596,0.24,-0.0282287469226105,-0.14,-0.01550643195695347,-0.06553029618317611,-0.1396646010182663,-0.08371401900525792
f,-0.7430110474789771,-6.98,0.014750286051792396,-0.03574024824122811,-0.01,-0.028345515473847095,-0.22,-0.016945872010664935,-0.054912020813171196,-0.15444252805094014,-0.07839706849461392
fh,-0.7933313774392258,-7.22,0.054556043935428414,-0.00028389007899151273,0.29,0.0022987805297743093,-0.13,0.0012539505674133355,-0.046848831309049904,-0.16209928790592326,-0.07989469004036827
fhl,-0.7014531657501962,-5.48,0.10325924835780045,0.06887325191368646,0.33,0.015242772945390528,-0.05,0.015544150713325574,-0.055710347330798576,-0.1440037369629829,-0.07229151751392242
hl,-0.9549325699485542,-7.28,0.03244565863516186,0.03337112867161246,0.35,0.05833314469853746,0.02,0.02135028257143479,-0.05414506234258178,-0.15766984481836305,-0.09502869618686603
l,-1.0440509026279967,-7.44,-0.03561068616077078,0.06616786771831404,0.18,0.00029730424892900455,-0.14,0.006848919609412966,-0.07118271369331314,-0.12623500781445618,-0.06985428384640859
