,CHE,CC,CTD,HRHE_i,HRC_i,HRHE_o,HRC_o,CBS,CTnCTR,PCS,MCTD
none,0.5547789090812157,4.34,-0.007181607588283411,0.03964826271104739,-0.33,0.0015037112201710988,0.08,-0.020661857736623598,0.03132431972448379,0.031760360002162515,0.01697645291788731
f,1.1071527995106503,8.04,-0.01715640735962541,0.03862730380529867,-0.44,0.03126895049416204,0.06,0.021118550112087773,0.03515084577665507,0.1268498569581492,0.04949382971131604
fh,1.1088360836232307,7.91,-0.0018831797160815545,0.04783678381914269,-0.36,0.04088955394792815,0.12,0.026154241747213244,0.041425882074628634,0.15413648095655724,0.05778029533272638
fhl,1.0112410775058505,7.27,-0.032958452498463055,0.06469375350552625,-0.31,0.035805225622210425,0.07,0.02188981289237617,0.04164727286733175,0.1324705924462683,0.06266820845426083
hl,0.9082927696200745,6.46,-0.040210883417122964,0.0030814668423128017,-0.39,0.015489511755026143,0.02,0.0013569025813329188,0.03406179367579637,0.11342998217340801,0.050681612379328306
l,0.5339858460222913,3.98,-0.036360023334682724,-0.012914532715126213,-0.24,-0.04465239777002179,0.03,-0.04140291346473916,0.014554904145780144,0.006678022765083775,0.005382154153872134
