,CHE,CC,CTD,HRHE_i,HRC_i,HRHE_o,HRC_o,CBS,CTnCTR,PCS,MCTD
none,0.77,0.84,0.34,0.38,0.15,0.41,0.2,0.38,0.47,0.63,0.57
f,0.85,0.83,0.37,0.52,0.08,0.44,0.23,0.43,0.67,0.89,0.79
fh,0.92,0.89,0.4,0.55,0.15,0.42,0.25,0.42,0.66,0.89,0.78
fhl,0.84,0.82,0.4,0.57,0.07,0.44,0.18,0.41,0.61,0.85,0.71
hl,0.91,0.89,0.44,0.58,0.09,0.45,0.22,0.43,0.63,0.78,0.67
l,0.7,0.75,0.45,0.52,0.12,0.44,0.17,0.41,0.53,0.59,0.59
