,CHE,CC,CTD,HRHE_i,HRC_i,HRHE_o,HRC_o,CBS,CTnCTR,PCS,MCTD
fhl,0.40692366520597145,3.5714285714285716,-6.162533397699057e-05,-0.014925099787820776,-0.014285714285714285,0.003032501412001196,0.02142857142857143,0.006537435204980457,-0.025186526653401164,-0.08679576738247476,-0.03995394414471704
l,-0.053603458607812536,0.9071428571428571,-0.042363311505618485,-0.014030914610665692,0.007142857142857143,0.00881970146147132,0.02857142857142857,0.00011573634085398999,-0.04586999605911187,-0.1278169128161302,-0.06592019493083845
f,-0.04805617904338373,0.8,-0.032764843167420885,0.03919279849719675,0.08571428571428572,0.029611613655926565,0.05714285714285714,0.0025384945911787085,-0.0401681429015977,-0.11993541354549293,-0.05474769086734146
