,CHE,CC,CTD,HRHE_i,HRC_i,HRHE_o,HRC_o,CBS,CTnCTR,PCS,MCTD
fhl,-0.7198509446918983,-6.457777777777777,-0.018509528492721684,-0.014173488029505878,-0.25333333333333335,-0.09680474130459635,-0.08,-0.045142234449818436,0.01730473170723468,0.05484856646842091,0.025368813357005564
l,-0.8031690281843614,-6.804444444444444,-0.023891003449217976,-0.041809568556059565,-0.28,-0.11106646739190511,-0.11555555555555555,-0.04803487370035561,0.0121477883821442,0.05384477326247583,0.02387098638232873
