,CHE,CC,CTD,HRHE_i,HRC_i,HRHE_o,HRC_o,CBS,CTnCTR,PCS,MCTD
none,-0.2293369439619841,-2.55,0.014823929225157084,-0.0606757257663293,-0.18,-0.006779294423748761,0.13,-0.011386323518819817,0.004886548944002081,0.048858915379182216,0.026161451519776592
f,-0.38034042233090104,-1.75,0.05668212503719325,-0.026158049939346544,-0.26,-0.04424785294738919,-0.02,-0.026067905477102804,0.02240126141057754,0.12290214381441338,0.07067140163938385
fh,-0.2578634562890077,-0.66,0.05739030843994192,-0.13535427428097496,-0.45,-0.12793564961998644,-0.15,-0.07127905558824972,0.027501132167704875,0.11323674230580029,0.05768436085619093
fhl,0.045587949566704644,0.2,-0.021412020868847418,-0.04160078059881796,-0.41,0.022652504079373612,0.11,-0.0005941604065163248,0.017262098523791,0.08443273866429188,0.04541440814735461
hl,-0.23728205954591922,-2.6,-0.010991681152631471,-0.104980608385911,-0.13,-0.002712818465947164,0.12,-0.02382124490281498,0.02452650541642876,0.05767963678197318,0.04412523018428061
l,-0.3692725821571021,-3.22,0.020465436630004143,-0.09615991606041266,-0.28,0.0021861743738253135,0.14,-0.011544612873005405,0.006118652077920167,0.056473861099444085,0.0284584965697917
