,CHE,CC,CTD,HRHE_i,HRC_i,HRHE_o,HRC_o,CBS,CTnCTR,PCS,MCTD
none,0.42,0.47,0.33,0.5,0.28,0.48,0.24,0.42,0.29,0.16,0.25
f,0.93,0.92,0.61,0.29,0.14,0.43,0.15,0.45,0.27,0.18,0.2
fh,0.95,0.94,0.61,0.29,0.12,0.29,0.13,0.4,0.28,0.16,0.22
fhl,0.86,0.89,0.41,0.44,0.35,0.44,0.24,0.5,0.31,0.17,0.2
hl,0.55,0.62,0.56,0.52,0.39,0.54,0.27,0.61,0.33,0.12,0.18
l,0.48,0.54,0.41,0.55,0.38,0.45,0.22,0.42,0.28,0.13,0.25
