,CHE,CC,CTD,HRHE_i,HRC_i,HRHE_o,HRC_o,CBS,CTnCTR,PCS,MCTD
none,5.986606960657097e+27,1.2676506002282294e+28,-3.3418828968122995e+26,2.0946012535752155e+27,6.338253001141147e+27,1.4640669413682758e+27,6.338253001141147e+27,-3.169126500570576e+26,1.7569654888817916e+25,1.6949020040137484e+27,3.6710742883687014e+26
f,-7.104337054150807e+27,-6.338253001141147e+28,4.5532740757462364e+26,-1.7981571425450018e+26,0.0,-1.982169101309466e+27,0.0,6.287949405894008e+25,8.90498355532227e+26,2.5867077087544846e+27,1.279630064788224e+27
fh,-8.164108251516035e+27,-8.873554201597607e+28,4.4903970973794186e+26,8.873882597366984e+26,1.2676506002282294e+28,1.729530029881826e+27,6.338253001141147e+27,-6.703921443514672e+26,3.224090980675917e+26,2.072316412054959e+27,8.275480285727903e+26
fhl,-5.299063904372365e+27,-5.070602400912918e+28,2.0679668836260467e+26,8.154321853765352e+26,6.338253001141147e+27,1.1369778713744458e+27,6.338253001141147e+27,-6.900517380274637e+26,-3.207076910680292e+26,1.0092000276726943e+27,1.8149133663062843e+26
hl,1.7248059457292652e+27,-1.2676506002282294e+28,3.52994768503561e+26,2.0463409463874538e+27,6.338253001141147e+27,2.6791753058394274e+25,6.338253001141147e+27,-2.7163941433462102e+26,1.0298395685025325e+27,2.970141684741028e+27,1.6352218338957905e+27
l,-5.33383718012718e+27,-2.535301200456459e+28,-2.5743092587635535e+27,-1.381808310611377e+27,-6.338253001141147e+27,-1.391641812343209e+27,-6.338253001141147e+27,-2.9021304950279963e+26,2.114709064328832e+26,1.040324210538678e+27,7.314566601219977e+25
