,CHE,CC,CTD,HRHE_i,HRC_i,HRHE_o,HRC_o,CBS,CTnCTR,PCS,MCTD
none,0.46,0.4,0.56,0.48,0.33,0.53,0.39,0.44,0.61,0.79,0.7
f,0.27,0.21,0.64,0.41,0.16,0.42,0.24,0.48,0.52,0.78,0.71
fh,0.35,0.39,0.71,0.51,0.18,0.39,0.2,0.43,0.58,0.76,0.74
fhl,0.5,0.46,0.57,0.46,0.14,0.47,0.25,0.47,0.56,0.8,0.69
hl,0.3,0.27,0.54,0.42,0.19,0.46,0.28,0.43,0.6,0.7,0.66
l,0.37,0.33,0.53,0.44,0.18,0.52,0.29,0.44,0.64,0.76,0.74
