,f,fh,fhl,hl,l
SE,0.9437845865398328,0.9531899638764634,0.9277527336015252,0.8380811272950818,0.8975777708223497
ED,0.4506550397453215,0.4030480311887912,0.3744659212356401,0.2726728018052127,0.23831923365794647
