,f,fh,fhl,hl,l
SE,0.46616911965614516,0.46923567967653523,0.3353281711571368,0.25354651608439877,0.2623304009065669
ED,0.5647352322573873,0.5105272706954685,0.47444595174000914,0.35013926589194366,0.26552045784796807
