,none,f,fh,fhl,hl,l
SE,0.0942606566236849,0.37474300368281055,0.3912598608047301,0.21749302726058406,0.10889843660028417,0.09186910205525173
ED,0.17113094200345555,0.5498224628018185,0.5245900044046214,0.2222864047319047,0.16245970019374237,0.16843859747509068
