Instance,CHE,CC,CTD,CTnCTR,PCS,MCTD,HRHE_i,HRC_i,HRHE_o,HRC_o,CBS
l,1.5183263747938567,6.321428571428571,0.8803505681520855,0.9306779143717298,0.4769827578379085,1.2963523961822385,0.5891716544362177,2.5,0.507247928672737,2.357142857142857,0.23678159034297144
layers_0_1_2_3_4_5_6_7_alpha_0_5,1.4164238809627367,5.892857142857143,0.9133422373178716,0.9189477404238735,0.504739824792187,1.2858611466660044,0.5718274165227755,2.357142857142857,0.49770091571388775,2.2142857142857144,0.24987971798706474
layers_0_1_2_3_4_5_6_7_alpha_10_0,2.1659253221373573,16.523809523809526,0.8540971254501247,0.5487390640988334,0.07676847290059517,1.640039479929536,0.4361277467562634,2.619047619047619,1.089572531342832,3.2857142857142856,0.5598703993797876
layers_0_1_2_3_4_5_6_7_alpha_1_0,1.6932699863071607,7.642857142857143,0.8797265432528861,0.9107707791436894,0.4443584534938923,1.321333862135554,0.6779495542376305,2.4642857142857144,0.5695879287706193,2.2857142857142856,0.2745977834591035
layers_0_1_2_3_4_5_6_7_alpha_20_0,1.9088778580242336,13.75,0.6710150938619113,0.5455814701743604,0.09455943724873914,1.6249010136800968,0.5397391530602502,2.6875,0.915890030431525,3.125,0.44050179497342173
layers_0_1_2_3_4_5_6_7_alpha_2_5,2.393724112377165,15.5,0.8381082478848655,0.7425976812302142,0.22310034100076112,1.4895115631277613,0.8950771820670406,3.1785714285714284,1.0572253615641827,3.4642857142857144,0.48410888212065445
layers_0_1_2_3_4_5_6_7_alpha_5_0,2.3720172327034015,18.464285714285715,0.9031324903251801,0.5547192374251064,0.07507071130534024,1.639370249893942,0.4656210681381844,2.8214285714285716,1.1800134181501052,3.4642857142857144,0.6147247670956165
layers_0_1_2_3_4_5_6_7_alpha_7_0,2.373250933300033,17.964285714285715,0.9408280535620618,0.5571063103519349,0.07834551412714244,1.6420823338939334,0.4394281911935444,2.8214285714285716,1.2040095909747273,3.5,0.6302137334442702
layers_3_4_5_6_7_alpha_0_5,1.4537477615495162,5.857142857142857,0.9286492210312841,0.9193139635330613,0.5111607770543035,1.2865204942347097,0.6123549420409663,2.4642857142857144,0.5198796440361455,2.142857142857143,0.25835498885219577
layers_3_4_5_6_7_alpha_10_0,2.238325963839464,17.38095238095238,0.8509316774777081,0.5221067939361221,0.06465100728295388,1.6527045779089549,0.4611737229665754,2.7142857142857144,1.1088878034994878,3.3333333333333335,0.5661839118298178
