Instance,CHE,CC,CTD,CTnCTR,PCS,MCTD,HRHE_i,HRC_i,CBS,avg
pretrained,0.36763688845140163,1.4444444444444444,0.3440629962494418,0.17034601941995678,0.19101310843265223,0.18428441876134136,0.626386395752564,1.3555555555555556,0.19886617165885023,0.5425106665251342
pretrained_epoch168_nvis50,0.39000331780086095,1.6888888888888889,0.3080469317516684,0.1502178885489971,0.17937833116951313,0.1628246304960524,0.5655065932851634,1.1333333333333333,0.22058405840916961,0.533198219298183
pretrained_epoch177_nvis30,0.3500188299846924,1.5555555555555556,0.26606372600362393,0.15451187380858125,0.19256699404963556,0.1570598419060725,0.5592844773720164,1.1333333333333333,0.21897522516758366,0.5097077619090107
pretrained_epoch182_nvis20,0.40546015697833193,1.511111111111111,0.31507319288302565,0.13505684177024657,0.16634360879964252,0.1446877517377413,0.5685954793793964,1.0,0.2139247891069245,0.49558365908515767
pretrained_epoch189_nvis10,0.3877363096946234,1.5555555555555556,0.312256111334775,0.1303507881051656,0.18405691739195695,0.1496058548722214,0.5518852096573571,1.3111111111111111,0.2069003062834038,0.5321620182229078
pretrained_epoch196_nvis5,0.4121208322979539,1.4666666666666666,0.2992472142757237,0.13371463327454933,0.17260508605053024,0.14973109818604402,0.45603112809436014,0.8666666666666667,0.18694239619205263,0.46041396907828297
pretrained_epoch200_nvis3,0.31850054811697315,1.4,0.27208618143344326,0.13786919822002527,0.17024932497832404,0.14762507474347314,0.3924592170287979,0.8444444444444444,0.17354068603426334,0.428530519444416
pretrained_epoch203_nvis2,0.370814844073298,1.6444444444444444,0.27401746002075994,0.14274758210826763,0.182397307452193,0.16172038213562412,0.43788544642825067,0.9777777777777777,0.17322017784049878,0.48500282469790157
pretrained,0.3768939518812006,2.6444444444444444,0.15443598191416963,0.049518167575141665,0.04906202822109082,0.03861329579147833,0.30343863224701095,0.8666666666666667,0.09560677718223841,0.5087422162137157
pretrained_back,0.24376463562218093,1.2,0.16279575449496764,0.04618286287513433,0.046589489852939696,0.03358393249104794,0.32112148508070326,0.7111111111111111,0.10451543425096635,0.31885163397545013
pretrained_epoch168_nvis50,0.3104317588804113,1.2444444444444445,0.186782248896299,0.05722132401753566,0.062087925834332924,0.05342411998928643,0.3835432973174503,0.7111111111111111,0.15578356850632535,0.35164775544413296
pretrained_epoch177_nvis30,0.3153838551948883,1.288888888888889,0.16221697540495958,0.047855390064837175,0.06196883704433384,0.04439830976722629,0.31660069445265215,0.5777777777777777,0.12647430325706768,0.32684055909473686
pretrained_epoch182_nvis20,0.216628889643636,0.7555555555555555,0.1829440666242284,0.05253964570854451,0.05626351065160455,0.04014845736722095,0.3292787013162716,0.6222222222222222,0.11033940167121893,0.2628800500845003
pretrained_epoch189_nvis10,0.28412747185821374,1.2222222222222223,0.1694780856935694,0.04929476101236955,0.05781355487018664,0.044041731927521005,0.3201418534521556,0.6444444444444445,0.11809740529048432,0.32329572564124076
pretrained_epoch196_nvis5,0.23766384462979354,1.1777777777777778,0.1400845671263002,0.049838290868433395,0.049156650050158616,0.033056935322294416,0.2606119493887604,0.5555555555555556,0.09855607861362516,0.28914462770363325
pretrained_epoch200_nvis3,0.2931266442199559,1.3333333333333333,0.13013843231985492,0.056318826306821654,0.05573448466636455,0.040033749382454284,0.24764023923179176,0.5111111111111111,0.09569459279239625,0.30701460148489823
pretrained_epoch203_nvis2,0.23408078267199395,1.0444444444444445,0.1422141381353271,0.04354750961771867,0.05373194597845536,0.038169196879976434,0.26203224786061874,0.5555555555555556,0.0974461951192048,0.274580224029255
