Instance,CHE,CC,CTD,CTnCTR,PCS,MCTD,HRHE_i,HRC_i,CBS
Ground Truth,1.1598092965823326,4.133333333333334,0.8900991477032875,0.9047157279459109,0.5168205079293183,1.294532569997022,0.6575186609423677,2.3555555555555556,0.23385868464511145
pretrained,1.147903311524397,4.288888888888889,0.5936308880475016,0.7422972662840203,0.3277898355409578,1.4770791271539627,0.1727097530891103,1.4444444444444444,0.04123137216629686
pretrained_epoch168_nvis50,1.080868138737614,4.0,0.7256434154179326,0.764091032668248,0.3405705955286237,1.4564611103276977,0.16975005191975984,1.5333333333333334,0.03149038791447633
pretrained_epoch177_nvis30,1.1068180356944963,4.088888888888889,0.7177230513768025,0.7658466509485113,0.3269639515901205,1.4514927020177706,0.2116546498774991,1.6666666666666667,0.04312399545800183
pretrained_epoch182_nvis20,0.9952139056759444,3.9555555555555557,0.6422498819876019,0.785270497787276,0.3588421713578352,1.4373959718865765,0.22180414567644577,1.6222222222222222,0.048845218118231906
pretrained_epoch189_nvis10,1.0293746932793901,3.9555555555555557,0.6532506265792487,0.7918336405837821,0.33759568082539027,1.4384513441337374,0.32736922623507486,2.022222222222222,0.07354074336512528
pretrained_epoch196_nvis5,1.0716083879148441,4.222222222222222,0.6705732742558321,0.781821667838436,0.34455933722270343,1.4408463025638332,0.4356881093543952,2.3333333333333335,0.08928253246016965
pretrained_epoch200_nvis3,1.1455679008570998,4.688888888888889,0.7062894069182101,0.7809515813567104,0.35058573321554454,1.4388379942538136,0.46354115428409587,2.4,0.09453842021520929
pretrained_epoch203_nvis2,1.1796124489520563,4.7555555555555555,0.7153159871341955,0.7818426472336518,0.33746963360976523,1.4512326395136737,0.573135708663558,2.8,0.11376596856526859
Ground Truth,1.1598092965823326,4.133333333333334,0.8900991477032875,0.9047157279459109,0.5168205079293183,1.294532569997022,0.6575186609423677,2.3555555555555556,0.23385868464511145
pretrained,1.488920521995929,6.644444444444445,0.8837825286335763,0.9077500195955526,0.49756324710418914,1.3115614813642291,0.9006850087078361,3.1333333333333333,0.2942279769094857
pretrained_back,1.230659056230821,4.666666666666667,0.9021124126869878,0.9269870394207993,0.5094034628214306,1.2952425859378536,0.6082978608020336,2.4,0.2390867019971397
pretrained_epoch168_nvis50,1.0604741404122326,3.5555555555555554,0.8291189756739734,0.8899168895184639,0.48698313132693843,1.3344704186908316,0.32458180166819034,1.6444444444444444,0.09067849213859543
pretrained_epoch177_nvis30,1.1463491274292046,3.7777777777777777,0.9140019488030793,0.9107474696583643,0.5038407143546866,1.303500459315078,0.4427983224223214,1.9111111111111112,0.15625928369286643
pretrained_epoch182_nvis20,1.1140672252071462,3.8222222222222224,0.8418563309188515,0.9114095021055186,0.5034016036844268,1.3019968001650803,0.429598329935919,2.0,0.15325912848106654
pretrained_epoch189_nvis10,1.0527415020336772,3.7111111111111112,0.8358430406048248,0.9137262632160886,0.5098956974016192,1.3016510216773993,0.446448076005801,1.9777777777777779,0.16975091493557798
pretrained_epoch196_nvis5,1.2481825738325545,4.644444444444445,0.9182796359549403,0.9308971006941726,0.5185069195807084,1.2868654174009557,0.5730526579893035,2.3777777777777778,0.2224087988706962
pretrained_epoch200_nvis3,1.2288413248271568,4.711111111111111,0.8982006407115597,0.9289272634452527,0.5204208005314127,1.2907352306657687,0.6272902150776182,2.511111111111111,0.21965376988838944
pretrained_epoch203_nvis2,1.2466531988315745,4.688888888888889,0.8671083666903228,0.921762264833157,0.517096624416555,1.2964746487768566,0.6876480538536563,2.5555555555555554,0.252613365629609
