Instance,CHE,CC,CTD,CTnCTR,PCS,MCTD,HRHE_i,HRC_i,HRHE_o,HRC_o,CBS
Source,2.171755963391433,11.571428571428571,0.8042645975005029,0.8581311892264216,0.3338033695098851,1.3713189325014312,0.5452796017636833,2.1785714285714284,0.49217932906990597,2.107142857142857,0.22751552513966342
Target,1.1598092965823326,4.133333333333334,0.8900991477032875,0.9047157279459109,0.5168205079293183,1.294532569997022,0.6575186609423677,2.3555555555555556,0.4972609627945554,2.0,0.23385868464511145
f,-9.99999499918067e-07,1.0,0.0,0.6799130131059677,0.3480788113041565,1.5038819595426178,-9.99999499918067e-07,1.0,-9.99999499918067e-07,1.0,0.0
fh,-9.99999499918067e-07,1.0,0.0,0.6799130131059677,0.3480788113041565,1.5038819595426178,-9.99999499918067e-07,1.0,-9.99999499918067e-07,1.0,0.0
fhl,1.2520228789619694,4.714285714285714,0.860196727715317,0.7750822972892892,0.44834849204838717,1.3855898009747085,0.4932532622694378,2.0714285714285716,0.36197087572124614,1.9642857142857142,0.14064128482912014
hl,1.4390929666412136,5.714285714285714,0.8661175898122272,0.8096211161416254,0.4695003662399171,1.3491121503652452,0.4798924916522346,2.0357142857142856,0.3454406930961495,1.9285714285714286,0.13044499680462987
l,1.2068548254599667,4.321428571428571,0.7184609228161668,0.7804757938120802,0.4411737400983409,1.3694246924782003,0.7835390511284663,3.107142857142857,0.5076083233837263,2.607142857142857,0.176678540506685
none,1.2161721425079153,4.357142857142857,0.718834137669263,0.7787279073139015,0.43710789845812315,1.3736131964566076,0.7997662703288576,3.107142857142857,0.5203045811633145,2.5714285714285716,0.1826793339864701
