Instance,CHE,CC,CTD,CTnCTR,PCS,MCTD,HRHE_i,HRC_i,CBS,avg
f,1.0037009799155694,7.178571428571429,0.22205198054004718,0.10116145624309898,0.10383714894179016,0.09005922561644,0.41557273561273245,1.2142857142857142,0.1870582592862666,1.168477658779232
fhl,0.8866477336322126,6.714285714285714,0.22520361353045873,0.10199948726050072,0.09440600000718136,0.09046592263193377,0.3634370639086904,1.2142857142857142,0.17021350711212319,1.0956605285171699
fhl_0_1,0.9058510332841979,6.714285714285714,0.23287652853452803,0.1071948178103387,0.10194243010538677,0.09295255675882043,0.4165217032807304,1.25,0.17656813682903327,1.1109103245431944
fhl_0_15,0.9080426009590613,6.714285714285714,0.23162458335009406,0.10093234519427867,0.10209503129889537,0.09633738771437377,0.35947376678570725,0.9642857142857143,0.16877991834949152,1.0717618958025923
fhl_0_2,0.9172973865875853,6.857142857142857,0.23461785018535006,0.09551785790924293,0.09290349286313626,0.08761842132926818,0.39745856269587093,1.1071428571428572,0.17783610348860152,1.107503932149419
l,0.9709171229038297,6.964285714285714,0.21561438868643698,0.10394803054223416,0.09891053415476415,0.08858752263701072,0.3870865046212754,1.1428571428571428,0.18382465043632723,1.1284479567916372
layers_0_1_2_3_alpha_2_5,0.7465412067158594,5.535714285714286,0.2261609983613768,0.11593239961782872,0.12153498005243445,0.11988663244185993,0.3769452542412782,1.2142857142857142,0.15258524763485534,0.9566207465628325
layers_0_1_2_3_alpha_5_0,1.013094373345023,6.821428571428571,0.349913125341342,0.2436527236020472,0.17485635769990374,0.1851086030886492,0.4056101385732747,1.1785714285714286,0.15260473200337793,1.1694266726281795
layers_1_2_alpha_2_5,0.8094047786607506,6.285714285714286,0.23104735221169576,0.11541794158833306,0.09763629556658011,0.10405923194969084,0.48777205271969504,1.3214285714285714,0.1970415352410638,1.0721691161200742
layers_1_2_alpha_5_0,0.9317570161524563,6.464285714285714,0.2549744586140647,0.1561796022553903,0.1289902652008465,0.13455339894556081,0.38004650293820014,1.1071428571428572,0.1705837438158709,1.0809459510389958
none,0.9910820872119215,7.178571428571429,0.23057651032967816,0.1010838852282783,0.09825406568402148,0.09078004153744179,0.4195664682467039,1.1071428571428572,0.18598677896426724,1.1558937914351777
f,0.8402831954868939,6.535714285714286,0.25832949135007083,0.07782165772226075,0.16464067467392843,0.1058133358973791,0.35126386052687575,0.7857142857142857,0.18289138625896303,1.033608019260549
fhl,0.6357676948661243,5.535714285714286,0.1883256292978625,0.09114406132963819,0.17015068896688762,0.10502886556475086,0.4114531525496115,1.0,0.21144210536298336,0.9276696092946827
fhl_0_1,0.5898803971071709,5.321428571428571,0.18647683561441525,0.08991612506488679,0.1672844813495224,0.1044743801658999,0.3366206399023189,0.8571428571428571,0.17709290390857793,0.8700352435204689
fhl_0_15,0.618840805241861,5.25,0.18933754499298688,0.08603093884106691,0.1712738743260564,0.10880241990931629,0.3420382958178432,0.8214285714285714,0.19272189600686154,0.8644971496182847
fhl_0_2,0.6253152429703549,5.107142857142857,0.21152722158730922,0.09548593438211248,0.1818111614994463,0.11370065151326804,0.344887394191646,0.7142857142857143,0.19608391782908208,0.8433600106001989
l,0.8362749440100584,6.5,0.2505724464269798,0.07792391101295756,0.16471978652414102,0.1058506337352927,0.3588737878882008,0.8214285714285714,0.19092581215053178,1.0340633214640813
layers_0_1_2_3_4_5_6_7_alpha_2_5,0.6512961564653728,5.214285714285714,0.2801736458586749,0.10891942456301813,0.10753530567053037,0.0964627155669682,0.38228048527004754,1.2142857142857142,0.17291214698938237,0.9142390343283802
layers_0_1_2_3_4_5_6_7_alpha_5_0,1.5741056656213543,8.75,0.5455086526972491,0.2949626663915745,0.2688585631315662,0.2573055249458584,0.3526420065036964,1.0,0.26902287704102956,1.4791562173702588
layers_4_5_6_alpha_2_5,0.8377426944766461,6.428571428571429,0.2465572783492441,0.09733485125920606,0.17624459967088904,0.10126690177236426,0.44205143103432104,0.8928571428571429,0.2075793120846465,1.047800626675099
layers_4_5_6_alpha_5_0,0.7103160466761427,5.642857142857143,0.22094564369219175,0.0954211379624232,0.14439739565005907,0.1012061667912283,0.38849758557121783,1.0357142857142858,0.2194004728654761,0.9509728753089076
none,0.8303320246438142,6.464285714285714,0.27262398931878135,0.07690350284969226,0.1634442763200594,0.1051813679095941,0.3800328228919504,0.8571428571428571,0.17488130025348533,1.0360919839573277
