Instance,CHE,CC,CTD,CTnCTR,PCS,MCTD,HRHE_i,HRC_i,HRHE_o,HRC_o,CBS
Source,2.171755963391433,11.571428571428571,0.8042645975005029,0.8581311892264216,0.3338033695098851,1.3713189325014312,0.5452796017636833,2.1785714285714284,0.49217932906990597,2.107142857142857,0.22751552513966342
Target,1.1598092965823326,4.133333333333334,0.8900991477032875,0.9047157279459109,0.5168205079293183,1.294532569997022,0.6575186609423677,2.3555555555555556,0.4972609627945554,2.0,0.23385868464511145
f,0.023968686722753457,1.1071428571428572,0.014615084299581915,0.6801870357585068,0.3472795785675836,1.506360451162791,0.04965023844791092,1.2142857142857142,0.023968686722753457,1.1071428571428572,0.006302521008403361
fh,0.07021334969413882,1.2142857142857142,0.04563178142779082,0.6794092266857393,0.34582112528401204,1.50346857470872,0.16732251991153516,1.4642857142857142,0.13203513039362863,1.5,0.039766081871345026
fhl,0.8158256296565539,3.392857142857143,0.5853152660235,0.6600025747455623,0.3079628390273303,1.5168832748168664,0.9737015285997516,3.607142857142857,0.8055212410500767,3.5357142857142856,0.2738043726904317
hl,1.3439467514188945,5.821428571428571,0.7450821786512168,0.6552064594825923,0.2954987622234956,1.5144026794649543,1.0186827691065379,3.7142857142857144,0.9000313571111717,3.75,0.3258367287322348
l,1.6060199572858351,7.642857142857143,0.761028992375906,0.6905154443967066,0.299260808364565,1.482235973917924,1.0010887832794193,3.607142857142857,0.8681671452390113,3.5714285714285716,0.3144558025477854
none,1.6254733336145593,7.571428571428571,0.7566864101048187,0.6725525064593832,0.28484092407415956,1.5118323980163046,1.0135653638292617,3.607142857142857,0.873695111738566,3.607142857142857,0.31765159337544263
Source,2.171755963391433,11.571428571428571,0.8042645975005029,0.8581311892264216,0.3338033695098851,1.3713189325014312,0.5452796017636833,2.1785714285714284,0.49217932906990597,2.107142857142857,0.22751552513966342
Target,1.1598092965823326,4.133333333333334,0.8900991477032875,0.9047157279459109,0.5168205079293183,1.294532569997022,0.6575186609423677,2.3555555555555556,0.4972609627945554,2.0,0.23385868464511145
f,0.9208999395425871,5.321428571428571,0.48051211264009763,0.6701397437399709,0.334341487634991,1.5107853564639366,0.9578687839423001,3.5,0.9104938857215875,3.8214285714285716,0.3074459977565568
fh,0.9145615330358879,5.392857142857143,0.5079674625540355,0.6555529431487637,0.3208788353142463,1.5189902270692515,0.9528565640609622,3.5,0.8954273133135244,3.892857142857143,0.2929482732588323
fhl,1.2176831706249247,4.535714285714286,0.7955923528479324,0.7835732223586838,0.4497420583955614,1.3775862497388502,0.40975249799770513,1.9642857142857142,0.3162770653696189,1.9642857142857142,0.11344000488184479
hl,1.2886346115598954,5.035714285714286,0.7808961084530187,0.7953607266311942,0.4351974634164959,1.373370183904454,0.36239284527147125,1.7142857142857142,0.2681076965847206,1.7142857142857142,0.09948873329236
l,1.379034068314212,5.5,0.7664189287769878,0.80350573113592,0.42813538602412826,1.3657856530872106,0.2633657411425774,1.5,0.19876796338755615,1.5,0.07812879930526988
layers_0_1_2_3_4_5_6_7_alpha_0_5,1.4619565761401763,5.933333333333334,0.8229210024413866,0.8719297473507652,0.4600154918976792,1.3192429619613937,0.4051368767272882,1.9777777777777779,0.33655531402642624,1.8444444444444446,0.15287632896321043
layers_0_1_2_3_4_5_6_7_alpha_10_0,1.3544722685435504,8.880952380952381,0.6699990970005597,0.5834155398551731,0.20104932957749855,1.5958201365767,0.6925973136242882,3.119047619047619,0.9871274691208757,3.4285714285714284,0.43944011273029915
layers_0_1_2_3_4_5_6_7_alpha_1_0,1.422040606719681,5.733333333333333,0.7710955538439601,0.8637208108012802,0.43137082745728095,1.3421354966463532,0.3760990342423231,1.8666666666666667,0.33076581559479923,1.7555555555555555,0.15872357601687057
layers_0_1_2_3_4_5_6_7_alpha_20_0,1.0463119911238632,6.833333333333333,0.44531616709899957,0.562051567416578,0.19077354425587015,1.614946263954644,0.5971883837879911,2.8333333333333335,0.7123642711017514,2.9166666666666665,0.29591117346802015
layers_0_1_2_3_4_5_6_7_alpha_2_5,1.23715716367064,7.977777777777778,0.4998851445118149,0.716207785152595,0.3318802193294686,1.4641615781044035,0.44029234120910055,2.088888888888889,0.49691328542157903,2.2444444444444445,0.22392413282633272
layers_0_1_2_3_4_5_6_7_alpha_5_0,1.0254794462931247,8.688888888888888,0.40137554687719723,0.6247589919549228,0.24778620474537075,1.557793545627659,0.17817643801800706,1.8666666666666667,0.5215502409124402,2.111111111111111,0.2815500109352335
layers_0_1_2_3_4_5_6_7_alpha_7_0,1.1603807213060073,8.533333333333333,0.5383567873606181,0.6018416829859032,0.2325303886839299,1.5590411602390752,0.42340807901497535,2.422222222222222,0.7569104980722721,2.8444444444444446,0.36380128484228685
layers_3_4_5_6_7_alpha_0_5,1.499843943368143,6.222222222222222,0.8344707830009316,0.8748187000553067,0.43948051217930445,1.331743698493625,0.37102373226762486,1.8666666666666667,0.30963010072388203,1.7555555555555555,0.14147160200876066
layers_3_4_5_6_7_alpha_10_0,1.33630095949864,8.976190476190476,0.6821745527070762,0.5573951968637142,0.19809700690885715,1.5999098360756814,0.679295460882661,3.0952380952380953,0.9854978745195334,3.4285714285714284,0.44004207517904476
layers_3_4_5_6_7_alpha_1_0,1.4397827224981856,5.866666666666666,0.7790312504537683,0.8659039416482328,0.4348730040631384,1.3413610886619733,0.3687261233217007,1.8888888888888888,0.32472505565602106,1.7555555555555555,0.15754330957708193
layers_3_4_5_6_7_alpha_20_0,1.0107989541455447,6.68,0.4543044356097575,0.57893039307113,0.18295361512050456,1.61126159040699,0.5959240200387053,2.64,0.7129373823427586,3.04,0.28949906346577947
layers_3_4_5_6_7_alpha_2_5,1.2175910417015172,8.088888888888889,0.480135670238396,0.7218018315848259,0.33074158159753453,1.4706986535290096,0.4404921829003454,2.1555555555555554,0.4853407665306945,2.2222222222222223,0.21693374971952836
layers_3_4_5_6_7_alpha_5_0,1.0166838362838735,8.622222222222222,0.3855531840889021,0.6188201871897174,0.23877663800012527,1.5610881194981536,0.16975568914501726,1.8222222222222222,0.5146160852753265,2.088888888888889,0.27637553244200286
layers_3_4_5_6_7_alpha_7_0,1.2346908971962873,9.25,0.5829866334893464,0.627823927756831,0.2416476070423445,1.5612005363889911,0.468761523813949,2.5,0.7910550944282069,2.8863636363636362,0.38365928320182263
layers_4_5_6_alpha_0_5,1.4696897331130796,6.088888888888889,0.8031328064856618,0.8759327044841497,0.45606586972032753,1.3203375995224522,0.38978869805476685,1.8666666666666667,0.3189110134431781,1.7555555555555555,0.14605765310509145
layers_4_5_6_alpha_10_0,1.3571033335977845,8.738095238095237,0.6629243365172887,0.5643809767291585,0.20049280979578168,1.5935948664849775,0.7061883297917051,3.1666666666666665,0.99566874731007,3.5238095238095237,0.43678307761788254
layers_4_5_6_alpha_1_0,1.469680767134664,6.022222222222222,0.770575455990725,0.85960455448556,0.42748364057825883,1.338509708576803,0.39593072208423424,1.8888888888888888,0.3315918061990957,1.8222222222222222,0.15310652721794468
layers_4_5_6_alpha_20_0,0.9928508408105351,6.44,0.4616997371817948,0.5584127274845017,0.18610731476950435,1.6276843503374174,0.6139391301590155,2.8,0.7388370249232308,2.96,0.30735937268553376
layers_4_5_6_alpha_2_5,1.2256826361349724,7.866666666666666,0.499332846925911,0.7213436559281727,0.33090363333970524,1.4687578805486292,0.45998576113113854,2.111111111111111,0.4876146384789146,2.1777777777777776,0.22001719814665566
layers_4_5_6_alpha_5_0,1.0122782599272484,8.422222222222222,0.40221702282157645,0.6247752010312452,0.24342075987316936,1.5556995966475364,0.2229549912901861,1.9777777777777779,0.5402621625899252,2.1777777777777776,0.28468682636926806
layers_4_5_6_alpha_7_0,1.180207042133986,8.777777777777779,0.5409233711751615,0.5960003346024185,0.23223305037693012,1.5696514531517671,0.47380929279897277,2.6,0.7754104378132038,2.8666666666666667,0.37208326194653435
layers_5_6_7_alpha_0_5,1.4630078984680153,5.933333333333334,0.8314839462698442,0.8735603069837157,0.44749201200700406,1.325884710839095,0.35710361630391996,1.7777777777777777,0.3032238852428936,1.6666666666666667,0.14267337555445622
layers_5_6_7_alpha_10_0,1.3671005287625004,8.975609756097562,0.6635142262974909,0.5948793521364711,0.21389933922363363,1.5867894936560896,0.6644750686142339,3.1463414634146343,0.9879138545309594,3.4146341463414633,0.44412627347267125
layers_5_6_7_alpha_1_0,1.4248730121042197,5.888888888888889,0.7931005561954868,0.8666033835286263,0.445751648831599,1.3330617793924044,0.4176164285574774,1.9111111111111112,0.3378335886347332,1.9111111111111112,0.14712029653562086
layers_5_6_7_alpha_20_0,1.0065192743430518,6.64,0.42153307872379886,0.5466787748216303,0.17033938203002577,1.6195617135508473,0.5560884543487593,2.64,0.6927926413072207,2.8,0.2879282656999876
layers_5_6_7_alpha_2_5,1.2622893533778416,8.11111111111111,0.4990618171991471,0.7197976876857713,0.33655520027845637,1.4611090416108021,0.48897866239153015,2.2666666666666666,0.5228671264103196,2.3333333333333335,0.22910974790231756
layers_5_6_7_alpha_5_0,1.0272474726680565,8.822222222222223,0.3933869145304073,0.6121062387403812,0.24531873150906236,1.5581042666602511,0.19021645783483107,1.7777777777777777,0.5172319654713329,2.111111111111111,0.2737692472531429
layers_5_6_7_alpha_7_0,1.207639680734842,9.11111111111111,0.5570031441163873,0.5852438195010143,0.2175870279690401,1.5815287425341473,0.5097805587938083,2.688888888888889,0.7867779753141688,3.0,0.36900130581670576
none,1.3857910546280248,5.535714285714286,0.784570656005268,0.8060572325089966,0.4206734164973085,1.3678785343576363,0.21486033103812133,1.3928571428571428,0.16529375534278934,1.3928571428571428,0.06687135987464814
