epoch,step,train_loss,train_logits_loss,train_foreign_loss,train_home_loss,train_acc,val_loss,val_logits_loss,val_foreign_loss,val_home_loss,val_acc,sav_version
0,1266,0.09541375533711477,0.7597104686696382,0.05742823103175015,0.03332406507972716,0.7623568325434432,1.245829052997358,1.2034651352600618,0.042363913165348946,0.02816299885285623,0.6974131337412588,1
1,2532,0.05894495158104629,0.6906443319473221,0.024412734397226507,0.018654466416145342,0.7798905262638228,1.185324658047069,1.1524512695543694,0.03287339529417681,0.02389251415363767,0.7044179778554779,2
2,3798,0.05198413747146514,0.6538368619119198,0.019292293765286416,0.01571631990557045,0.7916432168246461,1.1630630664753192,1.1349925371733578,0.028070533365914314,0.0214375149402203,0.7096235795454545,3
3,5064,0.048012560596880846,0.6307435816545245,0.016475380964777294,0.014131496020402954,0.7988231881911533,1.1608502033985022,1.1359925947406075,0.024857611395418644,0.020164171882876843,0.7111332677738926,4
4,6330,0.04526232691308098,0.613821775215497,0.014571237634561402,0.013058415184453671,0.8042314622827801,1.1377159099687228,1.1159899591496496,0.021725958410763378,0.01843116351995956,0.71487652972028,5
5,7596,0.04326463495138415,0.6011604447547482,0.013206612159855557,0.012211402728829951,0.8088510811611375,1.136771663571849,1.115850726311857,0.02092093268804478,0.017899817420226154,0.7150012747669,6
6,8862,0.04177415226828925,0.5905609746738727,0.012246102993236781,0.011602807811374584,0.8120168098341229,1.133284653678085,1.1135862379363088,0.019698420934604877,0.017151484223590654,0.7151715472027972,7
7,10128,0.0405790144798315,0.5816060030394444,0.011498713921784977,0.011243653458309188,0.8151467466429705,1.1346439570188522,1.11548574404283,0.01915821595343225,0.017426464480884148,0.7157825247668996,7
8,11394,0.0396770074607519,0.5748873337703105,0.010932640322979898,0.010946353014682142,0.8177070991311223,1.1436418868375546,1.124547691507773,0.01909419535800363,0.017553712834011425,0.7159455128205128,7
9,12660,0.03891338562698796,0.5674792019382566,0.010539425056983862,0.01073556622610932,0.8203772956161139,1.1360139684243635,1.11771003269788,0.018303932114080948,0.016803480458982063,0.7167340472027972,7
10,13926,0.03831851247133096,0.562413305868093,0.010197846695639511,0.010540001098387309,0.8221576323064774,1.126150127161633,1.108433872461319,0.017716255165975203,0.01701837693425742,0.7175207604895103,8
11,15192,0.037734303664633824,0.5564480299868666,0.00991190173207101,0.010448970835608846,0.8241576569905213,1.1316124065355821,1.1142612131256047,0.01735119548428691,0.016764137470586735,0.7185442162004665,8
12,16458,0.037242061064224015,0.5519603361356503,0.009644043903303513,0.010282454997121606,0.8255948854660353,1.1325258571993222,1.1142883440761855,0.018237507182427427,0.01735638076383056,0.7185442162004662,8
13,17724,0.03684751674868343,0.5489967344520028,0.009397679540780366,0.010119235147479304,0.8268476007108998,1.128157192107403,1.1106934466145255,0.017463744138226364,0.01676618986565507,0.7186962776806527,8
14,18990,0.03641170724832098,0.5440275879079508,0.009210327409552101,0.010057716537340534,0.8283298775671402,1.1241921218055668,1.1071334986975698,0.01705862601485216,0.016628509796591417,0.7197415865384613,9
15,20256,0.03609731941709021,0.541211352223092,0.00903675140221537,0.010036259145868757,0.8293413062796202,1.124651051831968,1.1077801422639326,0.016870911261349014,0.01622693600471724,0.7205228365384615,9
16,21522,0.03577011217632424,0.5378020848566887,0.008880007490118462,0.00994852905405912,0.8304718355055298,1.1171838781147292,1.1003456784017158,0.01683819710248799,0.016857443109267588,0.7228802447552444,10
17,22788,0.03548571873179639,0.5344389140205738,0.00876377260027009,0.009876248441816058,0.8318831457345972,1.1208145193981403,1.1038221075679318,0.016992407328816073,0.01680717526963263,0.7229558202214449,10
18,24054,0.03518008936702687,0.5316866041877635,0.008595758737513639,0.00978832892333503,0.8325983659162717,1.1193527768958698,1.1028037120898564,0.016549067176652676,0.01676300838307449,0.7236332677738926,10
19,25320,0.034893567480388174,0.5285418143732794,0.008466476333985255,0.009783586156503024,0.8337739435229068,1.1092480452674809,1.0927020609378815,0.01654598703890136,0.016552449387469977,0.7244445658508158,11
20,26586,0.03470479873984487,0.5263401871255788,0.00838778894850734,0.009727089744911634,0.8342059142969976,1.1208085124239777,1.1043883656913585,0.01642014975236221,0.016726296056400646,0.7233601034382284,11
21,27852,0.03446490923310579,0.5239457675913499,0.008267620461073367,0.00970407951097953,0.8349630973538691,1.1209158472942584,1.1041748302452492,0.016741020816632292,0.016928770029070703,0.723330055361305,11
22,29118,0.03418565612274559,0.5200718565009782,0.00818206287080372,0.00966964533374502,0.8365971810821501,1.119785939202164,1.1032826602458954,0.01650327531564416,0.017169292352980738,0.725174825174825,11
23,30384,0.03397479180782139,0.5176630687515883,0.008091637887513797,0.009654304337074265,0.8373451076224323,1.1144695683862225,1.098288673794631,0.016180889822091118,0.01703484466468746,0.7257466491841491,11
24,31650,0.03383831502089945,0.516014747992511,0.008037577156642509,0.009680699906128019,0.8379689968404426,1.1094914345127163,1.093629519144694,0.015861915706685097,0.016862804366444998,0.7261573062354316,11
25,32916,0.0336237482794253,0.5135190467369312,0.007947795589985606,0.00961108098989485,0.8389927675750409,1.1122903435519247,1.0965741827632443,0.015716154537530558,0.016843007863358114,0.7258440777972027,11
26,34182,0.0334140235178561,0.5106290862270253,0.007882568768945069,0.009595462910045309,0.839690091824644,1.1177362989295612,1.1012225724530942,0.01651372592614004,0.017564392719192034,0.7265980113636366,11
27,35448,0.03328922753903491,0.5089518716691229,0.007841633570249565,0.009575253528709072,0.8400128357030012,1.1001844695120147,1.0848095940821099,0.015374873778923895,0.016370692459697075,0.7264514131701629,12
28,36714,0.03308587908997873,0.5069262854766695,0.007739564456122134,0.00955949875888066,0.8410051342812005,1.106208185806419,1.0901518712441127,0.016056320587681097,0.017072848848659884,0.7275795818764567,12
29,37980,0.03296803438368049,0.5057647867837411,0.007679794595016264,0.009593980944101915,0.8414920270537128,1.102928581111359,1.0872592203544849,0.01566935944455591,0.016651824582368135,0.7288816652097901,12
30,39246,0.03281898560711605,0.5033230640311942,0.007652831993596908,0.009562575036518594,0.8423183254344386,1.107090325518088,1.0914246543790356,0.015665670066620365,0.016803293940470074,0.7274011145104896,12
31,40512,0.032665949641457664,0.5015599183608759,0.007587953319472936,0.00955709329648841,0.8432026313191152,1.1098277126297806,1.0942855621829177,0.01554214967076074,0.017006535830935747,0.72868134469697,12
32,41778,0.032548214107351654,0.4999102740349928,0.007552700026378647,0.009469679497567846,0.8434136798973149,1.1016151905059814,1.0862764368454616,0.015338756807261345,0.016421496727024063,0.7289581512237765,12
33,43044,0.032378391086125356,0.4978799621499545,0.007484392554677234,0.009551119267143086,0.8441035989336474,1.1112130297855898,1.0954103822057897,0.015802655312599556,0.01716953617605296,0.7272399475524475,12
34,44310,0.03226669638242578,0.49618542394461035,0.007457424821788195,0.009475362167868758,0.8448015402843599,1.1057886097467307,1.0906140104387745,0.015174606927868092,0.01645188359543681,0.7291921620046619,12
35,45576,0.032120551560868585,0.49498696914781326,0.0073712026725389285,0.009502796747899757,0.8451181131516592,1.0932190905917774,1.0780429618828224,0.015176131728697907,0.016312996701647837,0.7303412733100233,13
36,46842,0.03200493651879201,0.4927000370918292,0.007369934287331233,0.00954489531010201,0.8457068276066335,1.1092030997529174,1.0938780948971256,0.015325012447481806,0.016729905735701323,0.7293888403263402,13
37,48108,0.031877674021144616,0.4916401059965575,0.007295668299131884,0.00952743014392824,0.8464522857424968,1.1063607118346475,1.091060713836641,0.015299999324435537,0.016807631829358412,0.72914754516317,13
38,49374,0.03178266766900417,0.48961077649352297,0.007302128429940974,0.009466543244153827,0.847081728870459,1.1032450664224047,1.0877784368666736,0.015466626789985281,0.016817232001234184,0.7296155667249418,13
39,50640,0.03168809531759736,0.4884974616940176,0.007263221852275385,0.009497667701788375,0.8475136996445491,1.0936681181192398,1.0790265595371074,0.014641555435391087,0.015927360435439783,0.7301109047202797,13
40,51906,0.03154447943996197,0.48660211305106044,0.007214373421574256,0.009516562389998474,0.8477228969194325,1.0978757562962445,1.082060134320548,0.015815627662408533,0.017182107196387016,0.7310159892191145,13
41,53172,0.031499641791492186,0.4868503469873755,0.007157124070256454,0.009517228840681097,0.8478796406003156,1.1015839007767765,1.0860199458671338,0.01556395867726568,0.017236635836800844,0.7303613053613054,13
42,54438,0.03141881831396389,0.4859264322437381,0.007122496303721179,0.009489034564053348,0.8480376184834132,1.0912486712137859,1.0762054906650023,0.015043178530917927,0.016217019973379192,0.7317262164918414,14
43,55704,0.0312397389887504,0.4827535726589049,0.007102059996922281,0.009500106632941966,0.8492835456161127,1.0921703504793572,1.077595587481152,0.014574765404121894,0.016387341134814604,0.7313474286130537,14
44,56970,0.031144250610969832,0.4816873064985584,0.007059884877208955,0.009539750023961279,0.8497648844786727,1.0990484167229047,1.0836334269155155,0.015414989863832792,0.01720501392176657,0.7323526733682982,14
45,58236,0.031015935473108745,0.4801172864686633,0.00701007080899984,0.009544393634364762,0.850162914691943,1.0969246499466174,1.0816144496202469,0.015310201582244852,0.0174603304599948,0.7318272872960372,14
46,59502,0.030996624505409225,0.4798853768132874,0.007002355302809068,0.009575406523085955,0.8500203643364922,1.0925431247010375,1.0774830245610438,0.015060095271716515,0.016824680549854584,0.7323326413170164,14
47,60768,0.030856175801318025,0.4773270669282895,0.00698982206107769,0.00955688301878459,0.8511768118088484,1.0918451538591674,1.0769711845751964,0.014873967336660082,0.016515040389177473,0.7339424898018646,14
48,62034,0.030826876562318247,0.4774290623163913,0.006955423097914794,0.00952596214561654,0.8509645290284348,1.0905335360404216,1.0754837294419606,0.015049806386796814,0.017207781064578077,0.7337485431235429,15
49,63300,0.030652452495661203,0.47425760367611575,0.006939571888934921,0.009506479329775318,0.8522956161137432,1.088033760135824,1.0733095881613819,0.014724168418483301,0.01671146381307732,0.7327797202797204,16
