epoch,step,train_loss,train_logits_loss,train_foreign_loss,train_home_loss,train_acc,val_loss,val_logits_loss,val_foreign_loss,val_home_loss,val_acc,sav_version
0,1266,0.18901894149469067,1.2109098129833666,0.102197102045914,0.10510539108707818,0.6954889909162723,1.4497461571837917,1.3117949068546295,0.06767659476309111,0.07027465624339653,0.6719132430069928,1
1,2532,0.10166444718884819,1.0434557645335958,0.03847952891953325,0.044048517175889784,0.729172837677724,1.3404585195310188,1.2420406233180652,0.04807806198456974,0.05033982951532711,0.6861970061188811,2
2,3798,0.0845601656437391,0.9483288209679379,0.028529953508745248,0.03445508183049271,0.7494847205766205,1.2965198809450322,1.2155236032876102,0.03977511992508715,0.041221155248808136,0.6941151296620047,3
3,5064,0.07579665117283568,0.8899278213250882,0.023837832875231994,0.029849705821871287,0.7630078742101117,1.276611906109434,1.20258568091826,0.03563510287891735,0.03839112256625385,0.6976125437062937,4
4,6330,0.07057670696887171,0.8529320689268398,0.021120844472870583,0.027237033071275948,0.772071238151658,1.2533459744670175,1.185858498920094,0.032424632854985466,0.03506283766844056,0.7016107590326344,5
5,7596,0.0669597507973818,0.8250836494244859,0.01933706655368609,0.025474003833199234,0.7792691054502373,1.2404713278467006,1.1756577437574214,0.030963412683570023,0.03385016576132991,0.7028172348484847,6
6,8862,0.06434951278294244,0.8051159458608612,0.018019655828274445,0.024296235547682028,0.7840102932464456,1.2350161364584258,1.1742193111867616,0.028857086164255936,0.03193973724476316,0.7053858901515154,7
7,10128,0.06228072812124545,0.7893379679035049,0.016993890400964173,0.023279754251850797,0.7883343206951026,1.21846804022789,1.1589685488830914,0.027988638785300834,0.031510849821973934,0.7066260562354313,8
8,11394,0.060724004082040386,0.776484016935219,0.016267017981458284,0.022531138079779408,0.7917765106635072,1.2250840338793667,1.167137496399157,0.02772578312027635,0.030220753089948135,0.706755354020979,8
9,12660,0.05948055569100154,0.7664938560594314,0.015699783519960906,0.021824314367867664,0.7945053317535546,1.2033376079617124,1.1480541518240264,0.026127334444247412,0.02915612484018008,0.7105951340326339,9
10,13926,0.058331018546228346,0.7576244010414934,0.01512175959301009,0.021312152643174546,0.7968608066745659,1.203489992654685,1.1479545705246204,0.025859853295101362,0.029675567917751545,0.7112607444638694,9
11,15192,0.05751442920716735,0.7520181584461794,0.014699764487202652,0.020855024353252344,0.7987040876777259,1.204902475530451,1.1520207117904315,0.024259880580233806,0.028621872181467937,0.7112898819930069,9
12,16458,0.056483177294569184,0.74235361993407,0.014266622507294395,0.020395491910012553,0.8008590047393366,1.1946126087145372,1.140764613043178,0.02484364000459512,0.02900435783984986,0.7135789991258741,10
13,17724,0.05559424613712806,0.7334230513463464,0.013883272316498097,0.020159282369942272,0.8032940857030015,1.186793015761809,1.134188354918451,0.024361004220378218,0.028243652911800327,0.7140770687645688,11
14,18990,0.05482322168882236,0.72634514832007,0.013537102280696633,0.019875445112580135,0.8050367792259073,1.1874556098923539,1.134158115495335,0.0248072153013764,0.02849027771276958,0.7166184076340328,11
15,20256,0.05419286104481179,0.7200151981335681,0.01328669259755756,0.019621631414533887,0.8067208481437594,1.1871714221708702,1.1351719435417291,0.024661862150286182,0.027337609508046597,0.7168460445804197,11
16,21522,0.05373018332955679,0.7169546191867494,0.013045741221242206,0.01934684182209732,0.807569979265403,1.1718192850098466,1.1214517255624135,0.023296712883607004,0.02707084488462318,0.7175471663752914,12
17,22788,0.05311943855472086,0.7111833481850782,0.012769217474171288,0.0191642120384904,0.8092083827014227,1.1817793114618822,1.1309240433302792,0.023081123913553627,0.027774149890650402,0.7173441142191144,12
18,24054,0.05269403488479708,0.7062621348512493,0.01265206685147026,0.018915442343047963,0.810893068720379,1.173245038950082,1.1245572160590778,0.022177371901996208,0.026510446642835934,0.7195221445221444,12
19,25320,0.05229162892670993,0.7026770838770257,0.012481249749695804,0.018706097317591756,0.8121007355845191,1.1695333755377568,1.121667742729187,0.022032374911236042,0.02583325668379213,0.7210281905594406,13
20,26586,0.051722043769148664,0.6968140067506176,0.012247956193848197,0.018533546217874657,0.8135317930489719,1.1685631383549084,1.1197332839171092,0.022533212576738813,0.02629664179050561,0.7216291520979023,14
21,27852,0.05134291791814669,0.692752448797791,0.012111113148139669,0.018376726695405552,0.8146450434439182,1.1633496754097217,1.113828327619668,0.022475696719166906,0.027045655205394283,0.7223029574592076,15
22,29118,0.05099785287303947,0.6893390860602754,0.01196829124727532,0.01825042615245916,0.8157940857030015,1.1613108398336354,1.1125289833906926,0.02242512818933888,0.026356721042909405,0.7228356279137529,16
23,30384,0.05068980301855394,0.6858570406222231,0.011886210229003576,0.018042960435911238,0.8165666962875189,1.1548860389174838,1.1063691928531185,0.022028863331246557,0.026487981787685192,0.7256155303030304,17
24,31650,0.05030413923305452,0.6828186914772031,0.011672545622410414,0.01796263352030591,0.8173423923775673,1.1408179149483189,1.0924389642296415,0.02179098202649391,0.026587968268855053,0.7265625000000003,18
25,32916,0.04989860550681421,0.6774176664615129,0.01155737010058822,0.017881405860550502,0.8188863793443907,1.1484667812332963,1.0996328655517462,0.022293291703769653,0.02654061841806679,0.7275613709207458,18
26,34182,0.049657155175532965,0.6745511195247207,0.011505049212701842,0.017698197412241316,0.8199922245260663,1.1463876619483486,1.1012393163912224,0.020324104042215782,0.024824244732206516,0.7260416666666667,18
27,35448,0.04942359113227135,0.6723418311343938,0.011404456735160466,0.017608168999124523,0.8205241656793059,1.152014257329883,1.1028134208736997,0.02270647395176418,0.02649436171420596,0.7264004224941726,18
28,36714,0.04912441787067183,0.6690713400948104,0.011293265366070502,0.017510339444853355,0.8215769401658775,1.1467366922985425,1.099599663958405,0.021336654765587864,0.02580036705529148,0.727679742132867,18
29,37980,0.04884287091133907,0.6663689284716361,0.011163775640647229,0.017442592926541163,0.8222631565955761,1.1421455596432541,1.09492971590071,0.02164425149164868,0.025571589626258974,0.7293742715617715,18
