epoch,step,train_loss,train_logits_loss,train_foreign_loss,train_home_loss,train_acc,val_loss,val_logits_loss,val_foreign_loss,val_home_loss,val_acc,sav_version
0,1266,0.17470469470555183,1.3752231962778745,0.10594353318143795,0.03921028213960959,0.6199706259873613,2.0593155604420286,1.984039675105702,0.07527588336079409,0.031245082927246887,0.5607808857808859,1
1,2532,0.1161247788300211,1.266195235141269,0.0528150160618915,0.028547119827408457,0.629939277251185,1.81319281910405,1.7657665754809524,0.047426247517719414,0.025688693802239315,0.5760972100815851,2
2,3798,0.0959689027760737,1.2105811005708353,0.03543984680914719,0.022695672585030115,0.6348464652448663,1.7245482459212795,1.6889394756519434,0.03560876784225305,0.020703222038167896,0.5839889277389277,3
3,5064,0.08633760911946613,1.17186005053362,0.02774460559142945,0.01918688481070372,0.6402103080568714,1.6739097833633423,1.644333204536727,0.029576569174726803,0.018208584578877144,0.5871394230769231,4
4,6330,0.08048358360396649,1.1428557142356373,0.023340796958360863,0.016886348508763322,0.645242150473933,1.6501643892490503,1.6241012956156875,0.026063103200585552,0.016253711514626488,0.5899393575174825,5
5,7596,0.07654779101023082,1.1220088366648597,0.02044734831290293,0.015246998300955382,0.6495970329778831,1.6321307574257706,1.608595974517591,0.023534777630684955,0.015155797485600819,0.5912751311188813,6
6,8862,0.07363418395826696,1.104564235297048,0.018405971453506,0.014134561107457155,0.6531138921800944,1.622910061568925,1.601719131975463,0.021190932401540605,0.0139052454156406,0.5923659673659671,7
7,10128,0.07135716977118739,1.089108203236149,0.016901758783401284,0.013242465188641448,0.6563777399289108,1.6121201768065945,1.5919875547741398,0.020132626816065924,0.013163449454375288,0.5935150786713285,8
8,11394,0.06944592435672102,1.076034302960075,0.015644208349340476,0.012517476571344227,0.6591676540284368,1.6085765930739315,1.5898003189852743,0.018776272691673403,0.012586961754343727,0.5944720643939396,9
9,12660,0.0679830063316871,1.0657607486933516,0.014694968086930719,0.01194619128736557,0.6612269204186412,1.5970861216386159,1.579090503129092,0.01799562567788543,0.012173476205630735,0.5949919871794871,10
