,pretrained,pretrained_epoch168_nvis50,pretrained_epoch177_nvis30,pretrained_epoch182_nvis20,pretrained_epoch189_nvis10,pretrained_epoch196_nvis5,pretrained_epoch200_nvis3,pretrained_epoch203_nvis2
nottingham,66.0534644596849,50.80570428171865,45.82417727414335,45.4221252533938,45.234453134207456,45.73239326149519,46.42518558342411,47.951994924869496
jazz,62.447126232511266,52.35165670624016,50.9383691450073,46.66236025105175,48.05227359540794,47.5724435211919,47.380745502655714,45.08675622793106
avg,64.25029534609808,51.578680493979405,48.381273209575326,46.042242752222776,46.6433633648077,46.652418391343545,46.90296554303991,46.51937557640028
