,CHE,CC,CTD,HRHE_i,HRC_i,HRHE_o,HRC_o,CBS,CTnCTR,PCS,MCTD
fhl,0.247550909531758,0.9111111111111111,-0.03150977498974455,-0.07868201912794028,-0.25333333333333335,-0.05049566470386116,0.044444444444444446,-0.050006298279858676,0.009565377831211612,0.00021507497632742572,0.011453274483543555
l,-0.6337968066111233,-5.293333333333333,-0.0010935502136683632,-0.10832450352752576,-0.48444444444444446,-0.1423188372438168,-0.3022222222222222,-0.06790071880592514,0.007799512073959349,0.045035072972469295,0.0211953655017252
f,-0.6400173871177397,-5.506666666666667,0.007493539385885785,-0.10542354177546484,-0.4488888888888889,-0.1382739221441019,-0.28444444444444444,-0.07110647963048776,0.006191872925720504,0.03206359595546657,0.01209796236295506
